ID: 3, Coconut Type: nạo
ID: 4, Coconut Type: nạo
ID: 5, Coconut Type: Dừa nạo
ID: 6, Coconut Type: Dừa nạo
ID: 7, Coconut Type: Dừa nạo
ID: 8, Coconut Type: Dừa nạo
ID: 9, Coconut Type: Dừa nạo
ID: 10, Coconut Type: Dừa nạo
ID: 11, Coconut Type: Dừa nạo
ID: 12, Coconut Type: Dừa nạo
ID: 13, Coconut Type: Dừa nạo
ID: 14, Coconut Type: Dừa nạo
ID: 15, Coconut Type: Dừa nạo
ID: 16, Coconut Type: Dừa nạo
ID: 17, Coconut Type: Dừa nạo
ID: 18, Coconut Type: Dừa nạo
ID: 19, Coconut Type: Dừa nạo
ID: 20, Coconut Type: Dừa nạo
ID: 21, Coconut Type: Dừa nạo
ID: 22, Coconut Type: Dừa nạo
ID: 23, Coconut Type: Dừa nạo
ID: 24, Coconut Type: Dừa nạo
ID: 25, Coconut Type: Dừa nạo
ID: 26, Coconut Type: Dừa non
ID: 27, Coconut Type: Dừa non
ID: 28, Coconut Type: Dừa non
ID: 29, Coconut Type: Dừa già
ID: 30, Coconut Type: Dừa già
ID: 31, Coconut Type: Dừa nạo
ID: 32, Coconut Type: Dừa non
ID: 33, Coconut Type: Dừa non
ID: 34, Coconut Type: Dừa già
ID: 35, Coconut Type: Dừa nạo
ID: 36, Coconut Type: Dừa nạo
ID: 37, Coconut Type: Dừa nạo
ID: 38, Coconut Type: Dừa nạo
ID: 39, Coconut Type: Dừa già
ID: 40, Coconut Type: Dừa non
ID: 41, Coconut Type: Dừa nạo
